"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28389","test_one_to_one_message_with_packet_loss","tests","Sun Nov 10 00:50:38 GMT 2024","passed","Sun Nov 10 00:51:07 GMT 2024","TestOneToOneMessages","test_one_to_one_messages","",""
"","3069","test_one_to_one_message_with_node_pause_30_seconds","tests","Sun Nov 10 00:52:08 GMT 2024","passed","Sun Nov 10 00:52:11 GMT 2024","TestOneToOneMessages","test_one_to_one_messages","",""
"","38254","test_group_chat_messages_baseline","tests","Sun Nov 10 00:52:21 GMT 2024","passed","Sun Nov 10 00:53:00 GMT 2024","TestPrivateGroupMessages","test_private_group_messages","",""
"","54502","test_join_community_with_packet_loss","tests","Sun Nov 10 00:41:12 GMT 2024","broken","Sun Nov 10 00:42:07 GMT 2024","TestJoinCommunity","test_join_community","",""
"","54503","test_fetch_community_with_low_bandwith","tests","Sun Nov 10 00:35:20 GMT 2024","broken","Sun Nov 10 00:36:15 GMT 2024","TestFetchCommunity","test_fetch_community","",""
"","53014","test_contact_request_with_low_bandwith","tests","Sun Nov 10 00:26:51 GMT 2024","passed","Sun Nov 10 00:27:44 GMT 2024","TestContacRequest","test_contact_request","",""
"","58240","test_fetch_community_baseline","tests","Sun Nov 10 00:31:50 GMT 2024","broken","Sun Nov 10 00:32:49 GMT 2024","TestFetchCommunity","test_fetch_community","",""
"","69159","test_fetch_community_with_latency","tests","Sun Nov 10 00:32:57 GMT 2024","broken","Sun Nov 10 00:34:06 GMT 2024","TestFetchCommunity","test_fetch_community","",""
"","4074","test_group_chat_messages_with_node_pause_40_seconds","tests","Sun Nov 10 00:53:25 GMT 2024","passed","Sun Nov 10 00:53:29 GMT 2024","TestPrivateGroupMessages","test_private_group_messages","",""
"","3066","test_create_group_with_node_pause","tests","Sun Nov 10 00:28:55 GMT 2024","passed","Sun Nov 10 00:28:58 GMT 2024","TestCreatePrivateGroups","test_create_private_groups","",""
"","71173","test_join_community_with_latency","tests","Sun Nov 10 00:39:53 GMT 2024","broken","Sun Nov 10 00:41:04 GMT 2024","TestJoinCommunity","test_join_community","",""
"","36300","test_community_messages_with_node_pause_30_seconds","tests","Sun Nov 10 00:22:58 GMT 2024","broken","Sun Nov 10 00:23:34 GMT 2024","TestCommunityMessages","test_community_messages","",""
"","33396","test_one_to_one_message_with_latency","tests","Sun Nov 10 00:49:55 GMT 2024","passed","Sun Nov 10 00:50:28 GMT 2024","TestOneToOneMessages","test_one_to_one_messages","",""
"","74834","test_join_community_with_low_bandwith","tests","Sun Nov 10 00:42:15 GMT 2024","broken","Sun Nov 10 00:43:30 GMT 2024","TestJoinCommunity","test_join_community","",""
"","36294","test_join_community_with_node_pause","tests","Sun Nov 10 00:45:07 GMT 2024","broken","Sun Nov 10 00:45:43 GMT 2024","TestJoinCommunity","test_join_community","",""
"","38248","test_create_group_chat_baseline","tests","Sun Nov 10 00:28:06 GMT 2024","passed","Sun Nov 10 00:28:45 GMT 2024","TestCreatePrivateGroups","test_create_private_groups","",""
"","83382","test_contact_request_with_packet_loss","tests","Sun Nov 10 00:25:28 GMT 2024","passed","Sun Nov 10 00:26:51 GMT 2024","TestContacRequest","test_contact_request","",""
"","5072","test_group_chat_messages_with_node_pause_10_seconds","tests","Sun Nov 10 00:53:09 GMT 2024","passed","Sun Nov 10 00:53:15 GMT 2024","TestPrivateGroupMessages","test_private_group_messages","",""
"","36305","test_community_messages_with_node_pause_10_seconds","tests","Sun Nov 10 00:20:45 GMT 2024","broken","Sun Nov 10 00:21:21 GMT 2024","TestCommunityMessages","test_community_messages","",""
"","60271","test_contact_request_with_latency","tests","Sun Nov 10 00:24:28 GMT 2024","passed","Sun Nov 10 00:25:28 GMT 2024","TestContacRequest","test_contact_request","",""
"","27878","test_one_to_one_message_baseline","tests","Sun Nov 10 00:49:17 GMT 2024","passed","Sun Nov 10 00:49:45 GMT 2024","TestOneToOneMessages","test_one_to_one_messages","",""
"","53185","test_contact_request_baseline","tests","Sun Nov 10 00:23:35 GMT 2024","passed","Sun Nov 10 00:24:28 GMT 2024","TestContacRequest","test_contact_request","",""
"","36295","test_community_messages_baseline","tests","Sun Nov 10 00:18:32 GMT 2024","broken","Sun Nov 10 00:19:08 GMT 2024","TestCommunityMessages","test_community_messages","",""
"","58319","test_join_community_baseline","tests","Sun Nov 10 00:38:46 GMT 2024","broken","Sun Nov 10 00:39:45 GMT 2024","TestJoinCommunity","test_join_community","",""
"","2056","test_contact_request_with_node_pause","tests","Sun Nov 10 00:27:54 GMT 2024","passed","Sun Nov 10 00:27:56 GMT 2024","TestContacRequest","test_contact_request","",""
"","3070","test_one_to_one_message_with_node_pause_5_seconds","tests","Sun Nov 10 00:51:55 GMT 2024","passed","Sun Nov 10 00:51:58 GMT 2024","TestOneToOneMessages","test_one_to_one_messages","",""
"","28395","test_one_to_one_message_with_low_bandwith","tests","Sun Nov 10 00:51:17 GMT 2024","passed","Sun Nov 10 00:51:45 GMT 2024","TestOneToOneMessages","test_one_to_one_messages","",""
"","57571","test_fetch_community_with_packet_loss","tests","Sun Nov 10 00:34:15 GMT 2024","broken","Sun Nov 10 00:35:12 GMT 2024","TestFetchCommunity","test_fetch_community","",""
"","58372","test_leave_community_baseline","tests","Sun Nov 10 00:48:08 GMT 2024","broken","Sun Nov 10 00:49:07 GMT 2024","TestLeaveCommunity","test_leave_community","",""
